"kind","code_or_message","module","device_layer","source","catalog_generated_at"
"backend_message","Không import được trang menu nào","bookMenu","Backend / all clients","server/services/bookMenu.js:411","2026-09-20T16:19:46.383Z"
"backend_message","Không phân giải được tên miền: ${url.hostname}","bookMenu","Backend / all clients","server/services/bookMenu.js:330","2026-09-20T16:19:46.383Z"
"backend_message","Không tải được PubHTML5 config","bookMenu","Backend / all clients","server/services/bookMenu.js:390","2026-09-20T16:19:46.383Z"
"backend_message","Không tải được trang menu: ${url}","bookMenu","Backend / all clients","server/services/bookMenu.js:363","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy quyển menu","bookMenu","Backend / all clients","server/services/bookMenu.js:281","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy trang cần xoá","bookMenu","Backend / all clients","server/services/bookMenu.js:284","2026-09-20T16:19:46.383Z"
"backend_message","PubHTML5 không có trang menu để import","bookMenu","Backend / all clients","server/services/bookMenu.js:394","2026-09-20T16:19:46.383Z"
"backend_message","Trang menu quá lớn, vượt giới hạn cho phép.","bookMenu","Backend / all clients","server/services/bookMenu.js:367","2026-09-20T16:19:46.383Z"
"backend_message","Trang menu tải về không phải ảnh raster hợp lệ.","bookMenu","Backend / all clients","server/services/bookMenu.js:369","2026-09-20T16:19:46.383Z"
"backend_message","URL trỏ tới địa chỉ mạng nội bộ, không được phép tải.","bookMenu","Backend / all clients","server/services/bookMenu.js:332","2026-09-20T16:19:46.383Z"
"backend_message","bootstrapDefaultAdmin bị CẤM khi APP_ENV=review — tenant review dùng reviewSeed.","bootstrapAdmin","Backend / all clients","server/services/bootstrapAdmin.js:28","2026-09-20T16:19:46.383Z"
"backend_message","Chi nhánh không tồn tại","branches","Backend / all clients","server/services/branches.js:71","2026-09-20T16:19:46.383Z"
"backend_message","Mã chi nhánh đã tồn tại","branches","Backend / all clients","server/services/branches.js:75","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu mã chi nhánh","branches","Backend / all clients","server/services/branches.js:50","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên chi nhánh","branches","Backend / all clients","server/services/branches.js:48","2026-09-20T16:19:46.383Z"
"backend_message","Ngày không hợp lệ","businessClock","Backend / all clients","server/core/businessClock.js:64","2026-09-20T16:19:46.383Z"
"backend_message","Timestamp không hợp lệ","businessClock","Backend / all clients","server/core/businessClock.js:101","2026-09-20T16:19:46.383Z"
"backend_message","Cần PIN của Manager hoặc Admin để thay đổi QR BYOD.","byod","Tablet / BYOD","server/modules/byod/routes.js:22","2026-09-20T16:19:46.383Z"
"backend_message","Cần mở ca trước khi ghi nhận thu/chi tiền két","cashDrawer","Backend / all clients","server/services/cashDrawer.js:308","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập bên nhận tiền / NCC","cashDrawer","Backend / all clients","server/services/cashDrawer.js:364","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập lý do chi tiền","cashDrawer","Backend / all clients","server/services/cashDrawer.js:363","2026-09-20T16:19:46.383Z"
"backend_message","Khoản chi","cashDrawer","Backend / all clients","server/services/cashDrawer.js:329","2026-09-20T16:19:46.383Z"
"backend_message","Khoản chi cần hoàn không tồn tại","cashDrawer","Backend / all clients","server/services/cashDrawer.js:327","2026-09-20T16:19:46.383Z"
"backend_message","Loại giao dịch két không hợp lệ","cashDrawer","Backend / all clients","server/services/cashDrawer.js:306","2026-09-20T16:19:46.383Z"
"backend_message","Ngày giờ không hợp lệ","cashDrawer","Backend / all clients","server/services/cashDrawer.js:15","2026-09-20T16:19:46.383Z"
"backend_message","Số tiền chi lớn hơn tiền mặt đang có trong két","cashDrawer","Backend / all clients","server/services/cashDrawer.js:312","2026-09-20T16:19:46.383Z"
"backend_message","Số tiền hoàn lớn hơn tổng số còn thiếu của các khoản chi đã chọn","cashDrawer","Backend / all clients","server/services/cashDrawer.js:333","2026-09-20T16:19:46.383Z"
"backend_message","Số tiền phải lớn hơn 0","cashDrawer","Backend / all clients","server/services/cashDrawer.js:9","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận cập nhật danh mục.","catalog","Backend / all clients","server/modules/catalog/routes.js:289","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận cập nhật món ăn.","catalog","Backend / all clients","server/modules/catalog/routes.js:134","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận đổi giá món.","catalog","Backend / all clients","server/modules/catalog/routes.js:240","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận tạo danh mục.","catalog","Backend / all clients","server/modules/catalog/routes.js:279","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận tạo món ăn.","catalog","Backend / all clients","server/modules/catalog/routes.js:78","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận xóa danh mục.","catalog","Backend / all clients","server/modules/catalog/routes.js:299","2026-09-20T16:19:46.383Z"
"backend_message","Cần nhập PIN của Manager hoặc Admin để xác nhận xóa món ăn.","catalog","Backend / all clients","server/modules/catalog/routes.js:266","2026-09-20T16:19:46.383Z"
"backend_message","Chi nhánh chưa có trạm chế biến đang hoạt động","catalog","Backend / all clients","server/modules/catalog/routes.js:26","2026-09-20T16:19:46.383Z"
"backend_message","Danh mục không tồn tại","catalog","Backend / all clients","server/services/catalog.js:566","2026-09-20T16:19:46.383Z"
"backend_message","Giá không hợp lệ","catalog","Backend / all clients","server/modules/catalog/routes.js:242","2026-09-20T16:19:46.383Z"
"backend_message","Không thể xóa: còn ${active} món trong danh mục này. Hãy chuyển/xóa món trước.","catalog","Backend / all clients","server/services/catalog.js:568","2026-09-20T16:19:46.383Z"
"backend_message","Không thể xóa: nhóm","catalog","Backend / all clients","server/services/catalog.js:579","2026-09-20T16:19:46.383Z"
"backend_message","Món","catalog","Backend / all clients","server/services/catalog.js:430","2026-09-20T16:19:46.383Z"
"backend_message","Món chưa tới khung giờ bán:","catalog","Backend / all clients","server/services/catalog.js:150","2026-09-20T16:19:46.383Z"
"backend_message","Món không tồn tại","catalog","Backend / all clients","server/services/catalog.js:598","2026-09-20T16:19:46.383Z"
"backend_message","Món không tồn tại hoặc đã ẩn:","catalog","Backend / all clients","server/services/catalog.js:148","2026-09-20T16:19:46.383Z"
"backend_message","Món tạm hết:","catalog","Backend / all clients","server/services/catalog.js:149","2026-09-20T16:19:46.383Z"
"backend_message","Nhóm món không thuộc chi nhánh","catalog","Backend / all clients","server/modules/catalog/routes.js:139","2026-09-20T16:19:46.383Z"
"backend_message","Tên và mã trạm là bắt buộc","catalog","Backend / all clients","server/modules/catalog/routes.js:51","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên danh mục","catalog","Backend / all clients","server/services/catalog.js:519","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên món hoặc nhóm","catalog","Backend / all clients","server/modules/catalog/routes.js:81","2026-09-20T16:19:46.383Z"
"backend_message","Thứ tự không hợp lệ","catalog","Backend / all clients","server/modules/catalog/routes.js:226","2026-09-20T16:19:46.383Z"
"backend_message","Trạm không tồn tại","catalog","Backend / all clients","server/modules/catalog/routes.js:47","2026-09-20T16:19:46.383Z"
"backend_message","Trạm mặc định không thuộc chi nhánh hoặc đã ẩn","catalog","Backend / all clients","server/services/catalog.js:539","2026-09-20T16:19:46.383Z"
"backend_message","Giỏ hàng trống","catalogue","Backend / all clients","server/modules/catalogue/routes.js:104","2026-09-20T16:19:46.383Z"
"backend_message","Mật khẩu không đúng","catalogue","Backend / all clients","server/modules/catalogue/routes.js:150","2026-09-20T16:19:46.383Z"
"backend_message","Tên thiết bị không được để trống","catalogue","Backend / all clients","server/services/catalogue.js:66","2026-09-20T16:19:46.383Z"
"backend_message","Thiết bị chưa từng kết nối vào hệ thống","catalogue","Backend / all clients","server/services/catalogue.js:69","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu định danh thiết bị","catalogue","Backend / all clients","server/services/catalogue.js:65","2026-09-20T16:19:46.383Z"
"backend_message","Callback Lazada thiếu code.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:54","2026-09-20T16:19:46.383Z"
"backend_message","Callback Shopee thiếu code/shop_id.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:43","2026-09-20T16:19:46.383Z"
"backend_message","Callback TikTok Shop thiếu auth_code.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:66","2026-09-20T16:19:46.383Z"
"backend_message","Chưa cấu hình credential nền tảng cho ${a.label} ở server.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:119","2026-09-20T16:19:46.383Z"
"backend_message","Gian hàng không được kết nối với chi nhánh này.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:452","2026-09-20T16:19:46.383Z"
"backend_message","Kết nối chưa có gian hàng ánh xạ vào chi nhánh này.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:288","2026-09-20T16:19:46.383Z"
"backend_message","Kết nối chưa sẵn sàng đồng bộ lần đầu.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:283","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy kết nối marketplace.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:318","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy kết nối.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:447","2026-09-20T16:19:46.383Z"
"backend_message","Không xác định được gian hàng sau uỷ quyền.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:178","2026-09-20T16:19:46.383Z"
"backend_message","Người bán đã từ chối hoặc hủy cấp quyền.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:159","2026-09-20T16:19:46.383Z"
"backend_message","Phiên kết nối đã dùng hoặc hết hạn.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:150","2026-09-20T16:19:46.383Z"
"backend_message","Phiên kết nối đã được xử lý.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:166","2026-09-20T16:19:46.383Z"
"backend_message","Phiên kết nối đã hết hạn.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:153","2026-09-20T16:19:46.383Z"
"backend_message","Phiên kết nối không hợp lệ.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:149","2026-09-20T16:19:46.383Z"
"backend_message","Sàn không hỗ trợ kết nối 1 chạm: ${provider}","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:76","2026-09-20T16:19:46.383Z"
"backend_message","Server chưa cấu hình API_BASE_URL/APP_URL cho callback marketplace.","connectionPlatform","Backend / all clients","server/services/connectionPlatform.js:126","2026-09-20T16:19:46.383Z"
"backend_message","Chi nhánh ánh xạ không hợp lệ.","connectionStore","Backend / all clients","server/services/connectionStore.js:321","2026-09-20T16:19:46.383Z"
"backend_message","Gian hàng không thuộc phiên ủy quyền này.","connectionStore","Backend / all clients","server/services/connectionStore.js:319","2026-09-20T16:19:46.383Z"
"backend_message","Kho không hoạt động hoặc không thuộc chi nhánh đã chọn.","connectionStore","Backend / all clients","server/services/connectionStore.js:324","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy kết nối marketplace.","connectionStore","Backend / all clients","server/services/connectionStore.js:377","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy kết nối.","connectionStore","Backend / all clients","server/services/connectionStore.js:415","2026-09-20T16:19:46.383Z"
"backend_message","Token refresh đang được một worker khác xử lý.","connectionStore","Backend / all clients","server/services/connectionStore.js:359","2026-09-20T16:19:46.383Z"
"backend_message","${label} must be 32 bytes encoded as hex or base64","crypto","Backend / all clients","server/core/crypto.js:14","2026-09-20T16:19:46.383Z"
"backend_message","${name} must be a JSON object","crypto","Backend / all clients","server/core/crypto.js:23","2026-09-20T16:19:46.383Z"
"backend_message","DATA_ENCRYPTION_ACTIVE_KEY_ID is invalid","crypto","Backend / all clients","server/core/crypto.js:35","2026-09-20T16:19:46.383Z"
"backend_message","DATA_ENCRYPTION_KEY is required","crypto","Backend / all clients","server/core/crypto.js:42","2026-09-20T16:19:46.383Z"
"backend_message","Encryption key id is unavailable: ${keyId}","crypto","Backend / all clients","server/core/crypto.js:192","2026-09-20T16:19:46.383Z"
"backend_message","Invalid encrypted file header","crypto","Backend / all clients","server/core/crypto.js:209","2026-09-20T16:19:46.383Z"
"backend_message","Invalid encrypted secret ${label}","crypto","Backend / all clients","server/core/crypto.js:61","2026-09-20T16:19:46.383Z"
"backend_message","Invalid encrypted secret envelope","crypto","Backend / all clients","server/core/crypto.js:133","2026-09-20T16:19:46.383Z"
"backend_message","Plaintext secret is not allowed","crypto","Backend / all clients","server/core/crypto.js:163","2026-09-20T16:19:46.383Z"
"backend_message","Secret context missing ${name}","crypto","Backend / all clients","server/core/crypto.js:68","2026-09-20T16:19:46.383Z"
"backend_message","Secret encryption context (AAD) is required","crypto","Backend / all clients","server/core/crypto.js:51","2026-09-20T16:19:46.383Z"
"backend_message","Unable to decrypt legacy file with configured keys","crypto","Backend / all clients","server/core/crypto.js:207","2026-09-20T16:19:46.383Z"
"backend_message","Unable to decrypt legacy secret with configured keys","crypto","Backend / all clients","server/core/crypto.js:145","2026-09-20T16:19:46.383Z"
"backend_message","Unsupported encrypted secret version","crypto","Backend / all clients","server/core/crypto.js:154","2026-09-20T16:19:46.383Z"
"backend_message","Khách hàng không tồn tại","customers","Backend / all clients","server/services/customers.js:240","2026-09-20T16:19:46.383Z"
"backend_message","Mã khách hàng đã tồn tại","customers","Backend / all clients","server/services/customers.js:183","2026-09-20T16:19:46.383Z"
"backend_message","Nhập ít nhất tên, tên công ty, MST, số điện thoại hoặc email","customers","Backend / all clients","server/services/customers.js:184","2026-09-20T16:19:46.383Z"
"backend_message","Số điện thoại không hợp lệ","customers","Backend / all clients","server/services/customers.js:388","2026-09-20T16:19:46.383Z"
"backend_message","Cần cung cấp ID audit log.","database","Backend / all clients","server/modules/database/routes.js:187","2026-09-20T16:19:46.383Z"
"backend_message","Không thể đọc nội dung tài liệu.","database","Backend / all clients","server/modules/database/routes.js:234","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy bản ghi nhật ký hoạt động.","database","Backend / all clients","server/modules/database/routes.js:189","2026-09-20T16:19:46.383Z"
"backend_message","Tài liệu không nằm trong danh mục cho phép.","database","Backend / all clients","server/modules/database/routes.js:223","2026-09-20T16:19:46.383Z"
"backend_message","Cần PIN Quản lý hoặc Admin để chạy backfill thật (dry-run thì không cần).","documents","Backend / all clients","server/modules/documents/routes.js:478","2026-09-20T16:19:46.383Z"
"backend_message","Cần PIN Quản lý hoặc Admin để xóa vĩnh viễn tài liệu.","documents","Backend / all clients","server/modules/documents/routes.js:444","2026-09-20T16:19:46.383Z"
"backend_message","Định dạng file không được hỗ trợ: ${mime_type}","documents","Backend / all clients","server/modules/documents/routes.js:292","2026-09-20T16:19:46.383Z"
"backend_message","File quá lớn — tối đa 25MB","documents","Backend / all clients","server/modules/documents/routes.js:295","2026-09-20T16:19:46.383Z"
"backend_message","File rỗng","documents","Backend / all clients","server/modules/documents/routes.js:294","2026-09-20T16:19:46.383Z"
"backend_message","Không đủ quyền (cần quyền thao tác Kho để lưu file import)","documents","Backend / all clients","server/modules/documents/routes.js:343","2026-09-20T16:19:46.383Z"
"backend_message","Tài liệu không tồn tại","documents","Backend / all clients","server/modules/documents/routes.js:448","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu dữ liệu file (data, original_name)","documents","Backend / all clients","server/modules/documents/routes.js:291","2026-09-20T16:19:46.383Z"
"backend_message","Bill da co giao dich tra hang. Hoa don dien tu ban dau dang duoc giu de ra soat.","einvoice","Backend / all clients","server/services/einvoice.js:124","2026-09-20T16:19:46.383Z"
"backend_message","Bill đã có HĐĐT${inv.invoice_no ?","einvoice","Backend / all clients","server/services/einvoice.js:1037","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ có thể gửi email cho hóa đơn đã phát hành thành công","einvoice","Backend / all clients","server/services/einvoice.js:949","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ có thể hủy hóa đơn đã được phát hành thành công","einvoice","Backend / all clients","server/services/einvoice.js:869","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ có thể tải hóa đơn đã phát hành thành công","einvoice","Backend / all clients","server/services/einvoice.js:976","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ có thể thử lại các yêu cầu hóa đơn bị lỗi hoặc đang chờ thử lại","einvoice","Backend / all clients","server/services/einvoice.js:756","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ xuất hóa đơn cho đơn hàng đã thanh toán","einvoice","Backend / all clients","server/services/einvoice.js:1331","2026-09-20T16:19:46.383Z"
"backend_message","Chưa có bản ghi HĐĐT cho bill này","einvoice","Backend / all clients","server/services/einvoice.js:1035","2026-09-20T16:19:46.383Z"
"backend_message","Đồng bộ MISA lỗi: ${err.message}","einvoice","Backend / all clients","server/services/einvoice.js:850","2026-09-20T16:19:46.383Z"
"backend_message","Đơn hàng không tồn tại","einvoice","Backend / all clients","server/services/einvoice.js:1330","2026-09-20T16:19:46.383Z"
"backend_message","HĐĐT đang ở trạng thái ${inv.invoice_status} — thử lại sau ít phút.","einvoice","Backend / all clients","server/services/einvoice.js:1046","2026-09-20T16:19:46.383Z"
"backend_message","Hoa don chua phat hanh thanh cong","einvoice","Backend / all clients","server/services/einvoice.js:992","2026-09-20T16:19:46.383Z"
"backend_message","Hoa don thieu TransactionID","einvoice","Backend / all clients","server/services/einvoice.js:993","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn đã bắt đầu gửi nhà cung cấp nên không thể đổi thông tin người mua. Hãy lập hóa đơn điều chỉnh/thay thế.","einvoice","Backend / all clients","server/services/einvoice.js:1049","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn đã gửi nhà cung cấp nên không thể đổi thông tin người mua. Hãy lập hóa đơn điều chỉnh/thay thế.","einvoice","Backend / all clients","server/services/einvoice.js:225","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn đang được hủy hoặc trạng thái đã thay đổi.","einvoice","Backend / all clients","server/services/einvoice.js:882","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn người tiêu dùng có thông tin phải có họ tên, địa chỉ và số định danh cá nhân 12 chữ số; nếu khách không cung cấp đủ, hãy dùng","einvoice","Backend / all clients","server/services/einvoice.js:38","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn thiếu mã giao dịch (TransactionID) — không gửi được email","einvoice","Backend / all clients","server/services/einvoice.js:952","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn thiếu mã giao dịch (TransactionID) — không tải được file","einvoice","Backend / all clients","server/services/einvoice.js:979","2026-09-20T16:19:46.383Z"
"backend_message","Hóa đơn vừa bắt đầu gửi nhà cung cấp; không thể đổi thông tin người mua.","einvoice","Backend / all clients","server/services/einvoice.js:1091","2026-09-20T16:19:46.383Z"
"backend_message","Hủy hóa đơn trên MISA meInvoice lỗi: ${err.message}","einvoice","Backend / all clients","server/services/einvoice.js:911","2026-09-20T16:19:46.383Z"
"backend_message","Idempotency-Key must not exceed 128 characters","einvoice","Backend / all clients","server/services/einvoice.js:296","2026-09-20T16:19:46.383Z"
"backend_message","Invoice allocation amount must be greater than zero","einvoice","Backend / all clients","server/services/einvoice.js:362","2026-09-20T16:19:46.383Z"
"backend_message","Invoice allocation exceeds remaining order amount (${remaining})","einvoice","Backend / all clients","server/services/einvoice.js:364","2026-09-20T16:19:46.383Z"
"backend_message","Khong tim thay hoa don","einvoice","Backend / all clients","server/services/einvoice.js:991","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy hóa đơn","einvoice","Backend / all clients","server/services/einvoice.js:974","2026-09-20T16:19:46.383Z"
"backend_message","Không tìm thấy yêu cầu hóa đơn","einvoice","Backend / all clients","server/services/einvoice.js:795","2026-09-20T16:19:46.383Z"
"backend_message","Mã số thuế doanh nghiệp phải gồm 10 hoặc 13 chữ số","einvoice","Backend / all clients","server/services/einvoice.js:204","2026-09-20T16:19:46.383Z"
"backend_message","MISA khong tra ve link xem hoa don","einvoice","Backend / all clients","server/services/einvoice.js:996","2026-09-20T16:19:46.383Z"
"backend_message","MISA không trả về dữ liệu file hóa đơn","einvoice","Backend / all clients","server/services/einvoice.js:983","2026-09-20T16:19:46.383Z"
"backend_message","MST doanh nghiệp phải gồm 10 hoặc 13 chữ số; số định danh cá nhân phải gồm 12 chữ số","einvoice","Backend / all clients","server/services/einvoice.js:1056","2026-09-20T16:19:46.383Z"
"backend_message","MST người mua trùng MST người bán. Không thể tự xuất hóa đơn bán lẻ cho chính doanh nghiệp; nếu là tiêu dùng nội bộ, hãy xử lý theo quy trình kế toán riêng.","einvoice","Backend / all clients","server/services/einvoice.js:31","2026-09-20T16:19:46.383Z"
"backend_message","Tách hóa đơn đã bị loại bỏ: mỗi đơn hàng chỉ được phát hành một hóa đơn duy nhất.","einvoice","Backend / all clients","server/services/einvoice.js:171","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu địa chỉ doanh nghiệp mua hàng","einvoice","Backend / all clients","server/services/einvoice.js:28","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu email người nhận","einvoice","Backend / all clients","server/services/einvoice.js:955","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên công ty/tổ chức","einvoice","Backend / all clients","server/services/einvoice.js:206","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên doanh nghiệp mua hàng","einvoice","Backend / all clients","server/services/einvoice.js:27","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên người mua / công ty","einvoice","Backend / all clients","server/services/einvoice.js:1059","2026-09-20T16:19:46.383Z"
"backend_message","Vui lòng cung cấp lý do hủy hóa đơn","einvoice","Backend / all clients","server/services/einvoice.js:872","2026-09-20T16:19:46.383Z"
"backend_message","lý do nghiệp vụ","errors","Backend / all clients","server/core/errors.js:13","2026-09-20T16:19:46.383Z"
"backend_message","Khoản chi không tồn tại","expenses","Backend / all clients","server/services/expenses.js:242","2026-09-20T16:19:46.383Z"
"backend_message","Khoản chi này đã trừ vào két — chỉnh sửa trong sổ quỹ/ca để không lệch tiền mặt","expenses","Backend / all clients","server/services/expenses.js:213","2026-09-20T16:19:46.383Z"
"backend_message","Khoản chi này đã trừ vào két — không xóa từ Chi phí để tránh lệch quỹ","expenses","Backend / all clients","server/services/expenses.js:243","2026-09-20T16:19:46.383Z"
"backend_message","Số tiền chi phải lớn hơn 0","expenses","Backend / all clients","server/services/expenses.js:145","2026-09-20T16:19:46.383Z"
"backend_message","Thiếu tên danh mục","expenses","Backend / all clients","server/services/expenses.js:38","2026-09-20T16:19:46.383Z"
"backend_message","Chỉ chủ cửa hàng/tài khoản Haravan có vai trò admin mới có thể cấp quyền webhook. Hãy đăng nhập lại bằng tài khoản chủ shop.","haravanConnector","Backend / all clients","server/services/haravanConnector.js:356","2026-09-20T16:19:46.383Z"
"backend_message","Dòng hoàn tiền Haravan không hợp lệ.","haravanConnector","Backend / all clients","server/services/haravanConnector.js:1497","2026-09-20T16:19:46.383Z"
